Subject ID,Stress Condition,Trial Number,Short(0)/Long(1),env_trial_num,Stay(1)/Leave(0),StartTime,EndTime,Trial time,channel,offset_aperiodics,exponent_aperiodics,center_frequency_peaks,amplitude_peaks,std_dev_peaks,MSE_stats,r_squared_stats,frequency_wise_error_1_stats,frequency_wise_error_2_stats,frequency_wise_error_3_stats,frequency_wise_error_4_stats,frequency_wise_error_5_stats,frequency_wise_error_6_stats,frequency_wise_error_7_stats,frequency_wise_error_8_stats,frequency_wise_error_9_stats,frequency_wise_error_10_stats,frequency_wise_error_11_stats,frequency_wise_error_12_stats,frequency_wise_error_13_stats,frequency_wise_error_14_stats,frequency_wise_error_15_stats,frequency_wise_error_16_stats,frequency_wise_error_17_stats,frequency_wise_error_18_stats,frequency_wise_error_19_stats,frequency_wise_error_20_stats,frequency_wise_error_21_stats,frequency_wise_error_22_stats,frequency_wise_error_23_stats,frequency_wise_error_24_stats,frequency_wise_error_25_stats,frequency_wise_error_26_stats,frequency_wise_error_27_stats,frequency_wise_error_28_stats,frequency_wise_error_29_stats,frequency_wise_error_30_stats,frequency_wise_error_31_stats,frequency_wise_error_32_stats,frequency_wise_error_33_stats,frequency_wise_error_34_stats,frequency_wise_error_35_stats,frequency_wise_error_36_stats,frequency_wise_error_37_stats,frequency_wise_error_38_stats,frequency_wise_error_39_stats,frequency_wise_error_40_stats,frequency_wise_error_41_stats,frequency_wise_error_42_stats,frequency_wise_error_43_stats,frequency_wise_error_44_stats,frequency_wise_error_45_stats,frequency_wise_error_46_stats,frequency_wise_error_47_stats,frequency_wise_error_48_stats,frequency_wise_error_49_stats,frequency_wise_error_50_stats
47324,pre,1,1,1,1,1005.924,1011.18,5.255999999999972,CZ,-9.358305531,3.845173102,34.64917813,2.294286455,5.999955301,0.483895662,0.719484235,1.714417548,0.572455011,0.182559974,0.008641509,0.20986843,0.329404448,0.275435591,0.254812485,0.285062431,0.330261762,0.148194578,0.220671288,0.208311397,0.582890334,0.453488579,0.594670257,0.716115124,0.225625427,0.763281675,0.714462291,0.829164894,0.769367226,0.51835945,0.336361952,0.405813207,0.139326991,0.195522784,0.243958232,0.038213293,0.447237399,0.633482462,0.644997486,0.655730908,0.889871422,0.909771531,0.987956375,0.660779957,0.115764551,0.133010562,0.092968481,0.262664113,0.651505951,0.872075221,0.782183252,1.193618793,0.6135826,1.321740124,1.432183136,1.395884211,1.365056469
47324,pre,1,1,1,1,1005.924,1011.18,5.255999999999972,FZ,-9.361334227,3.962482424,34.98996745,2.547952461,5.999964879,0.563775497,0.685311206,1.810429013,0.675795718,0.410931449,0.033846858,0.039430798,0.034415595,0.265091963,0.196830562,0.368672657,0.390605252,0.421463948,0.524701616,0.626191275,0.678512225,0.661407959,0.774460442,0.666294713,0.777204705,0.708004122,0.814998606,0.775466983,0.739947077,0.679752941,0.652656008,0.733334417,0.566697453,0.0192143,0.00759656,0.182425732,0.799517494,0.635771116,0.797279385,0.8380745,1.009924964,0.884811882,0.679889595,0.674897803,0.443710895,0.183708205,0.190099989,0.380231317,0.523297813,0.534444966,0.881808053,1.138124052,0.419043886,1.563415819,1.452259523,1.357421881,1.296604855
47324,pre,2,1,2,1,1012.168,1017.872,5.703999999999951,CZ,-9.600283084,3.286213258,43.84106184,1.321772924,1.221956668,0.082212104,0.930884509,1.024788537,0.167014996,0.089175661,0.243134179,0.308667428,0.274187921,0.343317515,0.277566838,0.039549289,0.012718987,0.037947914,0.169849323,0.105743735,0.072103943,0.06527281,0.05610766,0.175887761,0.069323513,0.099893497,0.363281522,0.05834968,0.021427733,0.043271499,0.005101845,0.14025335,0.135565621,0.039089857,0.149047357,0.214242783,0.092503931,0.081447636,0.149956109,0.121784724,0.117380598,0.220604552,0.171678231,0.116192641,0.003236062,0.058291716,0.14060489,0.263720734,0.191381126,0.006080413,0.006300659,0.330915877,0.044207324,0.738000674,0.681088357,0.658066948,0.642447916
47324,pre,2,1,2,1,1012.168,1017.872,5.703999999999951,FZ,-9.355081892,3.687940769,40.44522058,1.612321965,3.495092518,0.100357983,0.928133354,0.980610928,0.123477479,0.167149849,0.41312585,0.437075986,0.553468953,0.440726031,0.122373033,0.227723909,0.263272004,0.109179022,0.053344262,0.084367188,0.087596178,0.011094692,0.205864611,0.033830316,0.142732047,0.120842052,0.253858296,0.132161084,0.004863716,0.0490232,0.146732829,0.105155162,0.254605457,0.282010635,0.278451701,0.138147101,0.148544216,0.190387198,0.006032423,0.088720596,0.300683605,0.384261862,0.235640508,0.04054042,0.186047206,0.28377245,0.170577119,0.145063026,0.078794659,0.312193282,0.467842976,0.463488038,0.047390337,0.774325408,0.622876191,0.526850433,0.46597593
47324,pre,3,1,3,1,1018.844,1024.448,5.604000000000042,CZ,-9.444920406,3.593698069,40.47608933,1.248250821,3.239044581,0.089651802,0.934988116,1.088839428,0.105545695,0.164835913,0.119674049,0.017341745,0.198520897,0.179255151,0.164652628,0.332558662,0.331616644,0.198742458,0.081513516,0.291118778,0.052038066,0.190472523,0.224349661,0.062890307,0.06398306,0.312462389,0.331875872,0.104578906,0.133270798,0.39119313,0.192478876,0.120595018,0.171310595,0.020506958,0.058026436,0.086604455,0.092110526,0.039462511,0.036822948,0.195563042,0.325213327,0.032684423,0.210164585,0.0703193,0.092830151,0.115518135,0.198343145,0.108244347,0.042088821,0.313650258,0.535065946,0.390605793,0.547124182,0.634286608,0.536265946,0.471745553,0.430651457
47324,pre,3,1,3,1,1018.844,1024.448,5.604000000000042,FZ,-9.67867204,3.401697216,43.67299659,1.315537946,1.372575545,0.053090892,0.957332944,0.837323621,0.082764298,0.202963496,0.184054794,0.179551052,0.096038882,0.010701459,0.115504212,0.058492828,0.162514686,0.014745184,0.004290423,0.210875121,0.072973225,0.258120827,0.052798451,0.156352763,0.060439513,0.093689355,0.145553039,0.165226693,0.08554884,0.080247364,0.00713929,0.117243658,0.189342707,0.108950271,0.000599397,0.266178889,0.074358537,0.093541693,0.096203616,0.174354054,0.150133185,0.020592521,0.112031233,0.039597603,0.019864498,0.079302746,0.15146664,0.168789759,0.105747337,0.007863673,0.044187742,0.295042302,0.136274203,0.642792664,0.52902579,0.495835736,0.478514672
47324,pre,4,1,4,1,1025.44,1030.808,5.367999999999938,CZ,-9.638526199,3.55721606,41.75854788,1.729849062,2.430971254,0.15601519,0.883124529,1.431246765,0.492960694,0.084133105,0.40846775,0.361672672,0.347492394,0.342850852,0.440609274,0.390339842,0.07594143,0.187659537,0.172190152,0.509033435,0.252370756,0.435537574,0.479905624,0.465748393,0.041683863,0.081638167,0.058477539,0.066415116,0.068270031,0.081095633,0.074155011,0.090448684,0.038565534,0.007794665,0.186433116,0.478207011,0.313238758,0.250046391,0.042397709,0.11542043,0.150423504,0.248203608,0.290211615,0.440958453,0.222059719,0.10759816,0.150266216,0.216610381,0.061355301,0.209873512,0.3547526,0.284663583,0.107647505,0.883143728,0.773781356,0.712892075,0.678988203
47324,pre,4,1,4,1,1025.44,1030.808,5.367999999999938,FZ,-9.923456646,3.242797379,35.17860353,1.731364073,5.999999191,0.265568126,0.777504352,1.197430111,0.293886972,0.027303896,0.067751182,0.138104544,0.229831749,0.133961162,0.012996452,0.197816255,0.001242907,0.001298268,0.273423006,0.186077361,0.124830742,0.073171874,0.05039513,0.308622935,0.336891263,0.742090956,0.699970124,0.661804226,0.734105778,0.699286633,0.522168147,0.345512586,0.22240125,0.067674651,0.224561388,0.014074433,0.252153492,0.108990404,0.598109356,0.560950384,0.629880137,0.808074093,0.696930937,0.167709042,0.038949266,0.228559882,0.047212842,0.296094375,0.494322278,0.412346869,0.718438204,0.801031962,0.16719507,1.128352534,1.055920193,0.985735998,0.929405309
47324,pre,5,1,5,1,1031.804,1037.168,5.363999999999805,CZ,-9.684462492,3.346479127,40.00997853,1.238161442,3.828250722,0.089960005,0.925365306,0.782918888,0.115943083,0.271159826,0.330090715,0.147061433,0.367323538,0.139768778,0.085070524,0.051293885,0.06040545,0.021255523,0.307178147,0.108845157,0.304618527,0.089502651,0.013103656,0.152240252,0.222513968,0.137030158,0.118227848,0.116217961,0.033540443,0.172251082,0.150019758,0.079165989,0.095138705,0.054488901,0.079563324,0.107281122,0.013594584,0.150401746,0.019107848,0.1031786,0.122354748,0.079596326,0.123916458,0.14383304,0.077502938,0.051431508,0.073128275,0.453132196,0.089205521,0.395537694,0.586057137,0.744961802,0.101793729,0.775290375,0.671146894,0.594838627,0.54263113
47324,pre,5,1,5,1,1031.804,1037.168,5.363999999999805,FZ,-9.779756163,3.224523615,35.64117639,1.494503684,5.982669862,0.125915534,0.890051583,0.644147952,0.165856697,0.298064823,0.034655425,0.072017373,0.073388201,0.119183772,0.215026013,0.017541132,0.054880091,0.125254975,0.153167925,0.103741658,0.002140624,0.235110479,0.011552565,0.051950248,0.054874929,0.244122804,0.238442982,0.259010208,0.684213517,0.519990659,0.635333416,0.413614688,0.258426248,0.171540443,0.137860606,0.068279815,0.104280784,0.001927615,0.161932505,0.288402763,0.441489832,0.264382572,0.534441101,0.451198485,0.226627228,0.203183729,0.295455649,0.287956693,0.46142117,0.568586207,0.545163114,0.34071568,0.495212412,0.728448906,0.660611453,0.599261245,0.550647792
